source,target,value
total-estimated-expediture,president,18000000
total-estimated-expediture,auditor-general,38153850
total-estimated-expediture,judiciary,387876110
total-estimated-expediture,industiral-court,41815108
total-estimated-expediture,parliament,125943000
total-estimated-expediture,services-comissions,77000000
total-estimated-expediture,statutory-authorities-services-commission,10241950
total-estimated-expediture,elections-and-boundaries-comission,82000000
total-estimated-expediture,tax-appeal-board,8211160
total-estimated-expediture,"registration,-recognition-and-certification-board",4500000
total-estimated-expediture,public-service-appeal-board,3489865
total-estimated-expediture,office-of-the-prime-minister,242184590
total-estimated-expediture,tobago-house-of-assembly,1860000000
total-estimated-expediture,"central-administrative-services,-tobago",33000000
total-estimated-expediture,personnel-department,42000000
total-estimated-expediture,ministry-of-finance,5608309770
total-estimated-expediture,charges-on-account-of-the-public-debt,8270001550
total-estimated-expediture,pensions-and-gratitutes,2775000000
total-estimated-expediture,ministry-of-national-secruity,3381131281
total-estimated-expediture,ministry-of-the-attorney-general-and-legal-affairs,286948650
total-estimated-expediture,ministry-of-education,5151772967
total-estimated-expediture,ministry-of-health,5105488890
total-estimated-expediture,ministry-of-labour-and-small-enterprises-development,357850800
total-estimated-expediture,ministry-of-public-administration-and-communications,948824390
total-estimated-expediture,ministry-of-tourism,55864500
total-estimated-expediture,integrity-comission,12000000
total-estimated-expediture,environmental-comission,7989000
total-estimated-expediture,ministry-of-public-utilities,2830314742
total-estimated-expediture,ministry-of-energy-and-energy-industries,109030290
total-estimated-expediture,ministry-of-rural-development-and-local-government,2099371110
total-estimated-expediture,ministry-of-works-and-transport,2150942325
total-estimated-expediture,ministry-of-trade-and-industry,113414760
total-estimated-expediture,ministry-of-housing-and-urban-development,1409013504
total-estimated-expediture,"ministry-of-community-development,-culture-and-the-arts",350522900
total-estimated-expediture,trinidad-and-tobago-police-service,2285980100
total-estimated-expediture,ministry-of-foreign-and-caricom-affairs,260872000
total-estimated-expediture,ministry-of-planning-and-development,248483740
total-estimated-expediture,ministry-of-sport-and-youth-affairs,281407827
total-estimated-expediture,equal-opportunity-tribunal,4740200
total-estimated-expediture,"ministry-of-agriculture,-land-and-fisheries",725904362
total-estimated-expediture,ministry-of-social-development-and-familiy-services,4701745300
infrastructure-development-fund,president,0
infrastructure-development-fund,auditor-general,0
infrastructure-development-fund,judiciary,36000000
infrastructure-development-fund,industiral-court,1000000
infrastructure-development-fund,parliament,7000000
infrastructure-development-fund,services-comissions,5000000
infrastructure-development-fund,statutory-authorities-services-commission,0
